,Product Name,Link,Price,Rating,Description
11,"APPLE iPhone 13 (Pink, 128 GB)",https://www.flipkart.com/apple-iphone-13-pink-128-gb/p/itm6e30c6ee045d2?pid=MOBG6VF5GXVFTQ5Y&lid=LSTMOBG6VF5GXVFTQ5YSGQY4O&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBG6VF5GXVFTQ5Y.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹65,999",4.7,128 GB ROM
12,"vivo T1 44W (Starry Sky, 128 GB)",https://www.flipkart.com/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVHNBBBBP5&lid=LSTMOBGDRHVHNBBBBP5PVEEZV&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBGDRHVHNBBBBP5.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹14,499",4.4,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
13,"vivo T1 44W (Midnight Galaxy, 128 GB)",https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVZN29ZJF4&lid=LSTMOBGDRHVZN29ZJF4WEHAX7&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBGDRHVZN29ZJF4.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹14,499",4.4,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
14,"POCO M4 Pro 5G (Cool Blue, 128 GB)",https://www.flipkart.com/poco-m4-pro-5g-cool-blue-128-gb/p/itm509e4403d0303?pid=MOBGBEU7GKRSHG5M&lid=LSTMOBGBEU7GKRSHG5MWVOWEV&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBGBEU7GKRSHG5M.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹16,999",4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
15,"vivo T1 5G (Starlight Black, 128 GB)",https://www.flipkart.com/vivo-t1-5g-starlight-black-128-gb/p/itm594222523bd8f?pid=MOBGB9TYNDFYKNQ6&lid=LSTMOBGB9TYNDFYKNQ6QMGH15&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBGB9TYNDFYKNQ6.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹15,990",4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16,"realme 9 (Meteor Black, 128 GB)",https://www.flipkart.com/realme-9-meteor-black-128-gb/p/itm73722a6d35d36?pid=MOBGDYSHYBBS2BBF&lid=LSTMOBGDYSHYBBS2BBFVN36CV&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBGDYSHYBBS2BBF.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹16,999",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
17,"realme 9 (Sunburst Gold, 128 GB)",https://www.flipkart.com/realme-9-sunburst-gold-128-gb/p/itm73722a6d35d36?pid=MOBGDYSHHVWMECHS&lid=LSTMOBGDYSHHVWMECHSTFXBTZ&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBGDYSHHVWMECHS.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹16,999",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
18,"vivo T1X (Space Blue, 64 GB)",https://www.flipkart.com/vivo-t1x-space-blue-64-gb/p/itm9e8207e7825a9?pid=MOBGG56ZFNPMHBWE&lid=LSTMOBGG56ZFNPMHBWEB8Y2U5&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBGG56ZFNPMHBWE.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹11,999",4.5,4 GB RAM | 64 GB ROM
19,"vivo T1X (Gravity Black, 64 GB)",https://www.flipkart.com/vivo-t1x-gravity-black-64-gb/p/itm9e8207e7825a9?pid=MOBGG56ZMXMNUCYF&lid=LSTMOBGG56ZMXMNUCYFQ5HT8S&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBGG56ZMXMNUCYF.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹11,999",4.5,4 GB RAM | 64 GB ROM
20,"vivo T1 44W (Starry Sky, 128 GB)",https://www.flipkart.com/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVMW2UDXZY&lid=LSTMOBGDRHVMW2UDXZYJR2BWY&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBGDRHVMW2UDXZY.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹15,999",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
21,"REDMI 10 (Midnight Black, 64 GB)",https://www.flipkart.com/redmi-10-midnight-black-64-gb/p/itmd93641e4ebb47?pid=MOBGC9GYEBH3GZ4E&lid=LSTMOBGC9GYEBH3GZ4ESWAKTT&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBGC9GYEBH3GZ4E.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹10,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
